example_id                                                 | status  | run_time        |
---------------------------------------------------------- | ------- | --------------- |
./spec/factories_spec.rb[1:1]                              | passed  | 0.03606 seconds |
./spec/factories_spec.rb[2:1]                              | passed  | 0.20118 seconds |
./spec/factories_spec.rb[3:1]                              | passed  | 0.03024 seconds |
./spec/factories_spec.rb[4:1]                              | passed  | 0.01146 seconds |
./spec/factories_spec.rb[5:1]                              | passed  | 0.00892 seconds |
./spec/factories_spec.rb[6:1]                              | passed  | 0.02853 seconds |
./spec/factories_spec.rb[7:1]                              | passed  | 0.00118 seconds |
./spec/factories_spec.rb[8:1]                              | passed  | 0.02437 seconds |
./spec/factories_spec.rb[9:1]                              | passed  | 0.00828 seconds |
./spec/factories_spec.rb[10:1]                             | passed  | 0.00918 seconds |
./spec/factories_spec.rb[11:1]                             | passed  | 0.00778 seconds |
./spec/factories_spec.rb[12:1]                             | passed  | 0.00986 seconds |
./spec/factories_spec.rb[13:1]                             | passed  | 0.00462 seconds |
./spec/factories_spec.rb[14:1]                             | passed  | 0.00666 seconds |
./spec/features/admin_dashboard_flow_spec.rb[1:1:1]        | passed  | 1.71 seconds    |
./spec/features/admin_dashboard_flow_spec.rb[1:1:2:1]      | failed  | 1.61 seconds    |
./spec/features/admin_dashboard_flow_spec.rb[1:1:2:2]      | failed  | 1.57 seconds    |
./spec/features/admin_dashboard_flow_spec.rb[1:1:3:1]      | failed  | 1.51 seconds    |
./spec/features/admin_dashboard_flow_spec.rb[1:1:3:2]      | failed  | 1.52 seconds    |
./spec/features/admin_dashboard_flow_spec.rb[1:1:3:3]      | failed  | 1.46 seconds    |
./spec/features/admin_dashboard_flow_spec.rb[1:1:3:4]      | failed  | 1.49 seconds    |
./spec/features/admin_dashboard_flow_spec.rb[1:1:4:1]      | failed  | 1.53 seconds    |
./spec/features/categories_flow_spec.rb[1:1:1:1]           | failed  | 0.04381 seconds |
./spec/features/categories_flow_spec.rb[1:2:1:1]           | passed  | 0.08741 seconds |
./spec/features/items_flow_spec.rb[1:1:1:1]                | failed  | 0.11253 seconds |
./spec/features/items_flow_spec.rb[1:1:2:1]                | failed  | 0.08251 seconds |
./spec/features/items_flow_spec.rb[1:1:3:1]                | failed  | 0.07478 seconds |
./spec/features/items_flow_spec.rb[1:1:3:2]                | failed  | 0.12429 seconds |
./spec/features/order_items_flow_spec.rb[1:1:1]            | failed  | 0.02303 seconds |
./spec/features/orders_flow_spec.rb[1:1:1:1]               | passed  | 0.14715 seconds |
./spec/features/orders_flow_spec.rb[1:1:2:1]               | passed  | 0.11848 seconds |
./spec/features/orders_flow_spec.rb[1:1:3:1]               | passed  | 0.09186 seconds |
./spec/features/orders_flow_spec.rb[1:1:4:1]               | passed  | 0.08678 seconds |
./spec/features/orders_flow_spec.rb[1:1:5:1]               | passed  | 0.08455 seconds |
./spec/features/user_creation_flow_spec.rb[1:1]            | passed  | 0.07531 seconds |
